battle_id,rule_order,rule_name,rule_description
smogtours-gen5ou-59402,1,Evasion Abilities Clause,Evasion abilities are banned
smogtours-gen5ou-59402,2,Sleep Clause Mod,Limit one foe put to sleep
smogtours-gen5ou-59402,3,Species Clause,Limit one of each Pokémon
smogtours-gen5ou-59402,4,OHKO Clause,OHKO moves are banned
smogtours-gen5ou-59402,5,Moody Clause,Moody is banned
smogtours-gen5ou-59402,6,Evasion Moves Clause,Evasion moves are banned
smogtours-gen5ou-59402,7,Endless Battle Clause,Forcing endless battles is banned
smogtours-gen5ou-59402,8,HP Percentage Mod,HP is shown in percentages
